Name, Package (J), CPU (J), GPU (J), DRAM(J), Time (ms)
pidigits-warmup, 0.102, 0.078, 0.000, 0.002, 3.469
pidigits-warmup, 0.000, 0.004, 0.000, 0.000, 0.177
pidigits-warmup, 0.000, 0.004, 0.000, 0.000, 0.124
pidigits-warmup, 0.000, 0.004, 0.000, 0.000, 0.151
pidigits-warmup, 0.000, 0.004, 0.000, 0.000, 0.157
pidigits, 0.000, 0.004, 0.000, 0.000, 0.171
pidigits, 0.000, 0.004, 0.000, 0.000, 0.148
pidigits, 0.000, 0.000, 0.000, 0.000, 0.099
pidigits, 0.000, 0.004, 0.000, 0.000, 0.134
pidigits, 0.000, 0.004, 0.000, 0.000, 0.134
pidigits, 0.023, 0.004, 0.000, 0.002, 0.119
pidigits, 0.023, 0.004, 0.000, 0.002, 0.131
pidigits, 0.000, 0.004, 0.000, 0.000, 0.131
pidigits, 0.000, 0.004, 0.000, 0.000, 0.125
pidigits, 0.000, 0.004, 0.000, 0.000, 0.117
pidigits-warmup, 39.117, 36.457, 0.190, 2.575, 1372.883
pidigits-warmup, 35.609, 33.289, 0.189, 2.347, 1249.755
pidigits-warmup, 36.023, 33.652, 0.201, 2.390, 1275.230
pidigits-warmup, 35.383, 33.137, 0.190, 2.116, 1252.636
pidigits-warmup, 36.273, 33.957, 0.169, 2.333, 1281.672
pidigits, 38.969, 36.293, 0.181, 2.751, 1364.939
pidigits, 34.977, 32.789, 0.212, 2.096, 1234.737
pidigits, 36.984, 34.430, 0.260, 2.539, 1309.236
pidigits, 35.211, 32.938, 0.252, 2.188, 1251.157
pidigits, 36.383, 34.070, 0.233, 2.302, 1287.458
pidigits, 36.406, 34.074, 0.230, 2.246, 1290.780
pidigits, 36.641, 34.180, 0.228, 2.337, 1289.362
pidigits, 34.961, 32.660, 0.231, 2.107, 1238.239
pidigits, 36.633, 34.215, 0.230, 2.446, 1288.863
pidigits, 35.969, 33.648, 0.233, 2.248, 1279.639
binary-trees-warmup, 65.430, 59.469, 0.161, 6.606, 2402.334
binary-trees-warmup, 57.375, 52.156, 0.123, 6.142, 2100.735
binary-trees-warmup, 58.406, 52.387, 0.174, 6.928, 2113.221
binary-trees-warmup, 69.211, 61.859, 0.191, 7.615, 2480.821
binary-trees-warmup, 59.859, 49.918, 0.194, 7.195, 2956.201
fannkuch-redux-warmup, 0.219, 0.223, 0.000, 0.010, 7.308
fannkuch-redux-warmup, 0.234, 0.223, 0.000, 0.013, 8.464
fannkuch-redux-warmup, 0.258, 0.227, 0.000, 0.015, 8.787
fannkuch-redux-warmup, 1.188, 1.043, 0.007, 0.106, 40.917
fannkuch-redux-warmup, 1.141, 0.996, 0.001, 0.095, 42.677
fannkuch-redux, 0.172, 0.156, 0.000, 0.008, 6.107
fannkuch-redux, 0.086, 0.086, 0.000, 0.008, 3.471
fannkuch-redux, 0.055, 0.055, 0.000, 0.004, 1.911
fannkuch-redux, 0.094, 0.070, 0.000, 0.006, 2.701
fannkuch-redux, 0.141, 0.109, 0.000, 0.010, 4.162
fannkuch-redux, 1.164, 1.012, 0.010, 0.096, 39.723
fannkuch-redux, 0.086, 0.066, 0.000, 0.005, 2.589
fannkuch-redux, 0.203, 0.184, 0.000, 0.012, 6.955
fannkuch-redux, 0.086, 0.070, 0.000, 0.007, 2.532
fannkuch-redux, 0.203, 0.184, 0.000, 0.014, 7.100
fannkuch-redux-warmup, 0.242, 0.230, 0.000, 0.012, 7.795
fannkuch-redux-warmup, 0.266, 0.246, 0.003, 0.017, 9.151
fannkuch-redux-warmup, 0.172, 0.164, 0.001, 0.011, 6.114
fannkuch-redux-warmup, 0.117, 0.133, 0.000, 0.008, 4.560
fannkuch-redux-warmup, 0.734, 0.672, 0.003, 0.044, 26.948
fannkuch-redux, 1.117, 0.992, 0.000, 0.086, 37.805
fannkuch-redux, 0.086, 0.078, 0.000, 0.009, 2.942
fannkuch-redux, 0.117, 0.113, 0.001, 0.013, 4.390
fannkuch-redux, 0.609, 0.582, 0.007, 0.044, 21.739
fannkuch-redux, 0.078, 0.063, 0.000, 0.006, 2.333
fannkuch-redux, 0.727, 0.672, 0.000, 0.068, 24.890
fannkuch-redux, 0.492, 0.477, 0.001, 0.037, 17.468
fannkuch-redux, 0.406, 0.379, 0.000, 0.029, 13.771
fannkuch-redux, 0.148, 0.133, 0.000, 0.012, 4.883
fannkuch-redux, 0.141, 0.141, 0.000, 0.013, 5.290
fannkuch-redux-warmup, 240.203, 231.633, 0.413, 4.084, 8324.677
fannkuch-redux-warmup, 243.695, 234.273, 0.546, 4.412, 8426.022
fasta-warmup, 28.836, 27.652, 0.016, 0.518, 1000.752
fasta-warmup, 30.188, 28.148, 0.362, 1.195, 1046.093
fasta-warmup, 37.227, 33.301, 0.603, 2.326, 1288.806
fasta-warmup, 28.977, 27.398, 0.182, 1.186, 1002.938
fasta-warmup, 26.977, 26.043, 0.074, 0.514, 949.026
fasta, 27.367, 26.320, 0.071, 0.512, 946.792
fasta, 27.188, 26.195, 0.078, 0.520, 947.651
fasta, 27.625, 26.531, 0.076, 0.566, 956.461
fasta, 27.477, 26.270, 0.085, 0.533, 958.332
fasta, 30.047, 28.570, 0.079, 0.961, 1040.118
fasta, 29.727, 28.445, 0.084, 0.916, 1036.713
fasta, 29.688, 28.063, 0.089, 0.947, 1058.106
fasta, 27.188, 26.168, 0.076, 0.533, 952.007
fasta, 27.422, 26.117, 0.085, 0.549, 972.260
fasta, 27.508, 26.344, 0.082, 0.568, 959.113
k-nucleotide-warmup, 108.094, 103.070, 0.301, 4.209, 3952.006
k-nucleotide-warmup, 99.164, 94.527, 0.284, 3.582, 3621.090
k-nucleotide-warmup, 109.797, 103.926, 0.483, 4.707, 4065.214
k-nucleotide-warmup, 100.609, 95.234, 0.499, 3.662, 3691.310
k-nucleotide-warmup, 114.336, 107.898, 0.593, 5.365, 4141.791
k-nucleotide, 110.742, 104.691, 0.498, 4.824, 4087.667
k-nucleotide, 98.891, 94.000, 0.339, 3.697, 3703.147
k-nucleotide, 98.469, 93.551, 0.356, 3.594, 3681.420
mandelbrot-warmup, 70.203, 67.520, 0.163, 1.309, 2426.165
mandelbrot-warmup, 71.516, 68.055, 0.333, 1.590, 2471.767
mandelbrot-warmup, 70.977, 68.109, 0.328, 1.490, 2453.821
n-body-warmup, 75.055, 71.094, 0.286, 1.986, 3826.261
n-body-warmup, 78.695, 74.324, 0.324, 2.252, 3850.653
regex-redux-warmup, 165.281, 156.641, 0.774, 5.488, 6328.221
regex-redux-warmup, 195.867, 186.875, 0.643, 5.531, 7735.391
reverse-complement-warmup, 18.750, 16.527, 0.078, 1.484, 666.889
reverse-complement-warmup, 7.992, 7.441, 0.043, 0.613, 303.606
reverse-complement-warmup, 7.273, 6.715, 0.019, 0.514, 289.980
