Name, Package (J), CPU (J), GPU (J), DRAM(J), Time (ms)
pidigits-warmup, 106.357, 96.513, 1.229, 8.506, 4649.536
pidigits-warmup, 88.132, 80.164, 0.791, 6.832, 4022.797
pidigits-warmup, 85.570, 77.347, 1.119, 6.871, 3990.662
pidigits-warmup, 91.132, 82.550, 1.173, 7.309, 4134.001
pidigits-warmup, 88.029, 79.816, 1.168, 7.051, 4014.456
pidigits, 95.759, 86.572, 1.297, 8.094, 4175.310
pidigits, 91.293, 82.799, 1.169, 7.361, 4079.026
pidigits, 86.196, 78.238, 0.879, 6.843, 4041.353
pidigits, 83.824, 75.389, 1.165, 6.816, 3988.762
pidigits, 85.474, 77.338, 1.167, 6.688, 3933.840
pidigits, 86.011, 77.681, 1.192, 6.914, 4012.037
pidigits, 85.313, 77.075, 1.078, 6.783, 3979.944
pidigits, 85.175, 77.237, 0.942, 6.656, 3969.291
pidigits, 85.849, 77.503, 1.198, 6.913, 4011.007
pidigits, 86.826, 78.158, 1.227, 7.219, 4059.558
n-body-warmup, 310.491, 288.328, 4.261, 12.230, 15839.121
n-body-warmup, 340.769, 314.583, 5.617, 15.703, 16315.975
n-body-warmup, 346.808, 321.701, 4.199, 15.584, 16767.260
n-body-warmup, 325.479, 302.547, 3.728, 13.865, 16171.953
n-body-warmup, 518.789, 463.313, 18.218, 33.286, 24213.083
n-body, 532.062, 474.189, 19.174, 35.503, 24815.974
n-body, 578.469, 514.864, 19.394, 38.800, 26389.521
n-body, 483.993, 444.673, 8.202, 20.710, 24435.930
n-body, 487.997, 450.821, 7.789, 21.652, 24344.038
n-body, 463.422, 427.517, 7.616, 20.559, 24196.519
n-body, 447.266, 414.447, 7.224, 17.257, 23603.728
n-body, 475.729, 435.541, 10.640, 22.366, 24104.587
n-body, 551.569, 492.186, 19.947, 34.842, 25816.901
n-body, 604.290, 542.442, 18.655, 38.353, 27184.322
n-body, 525.485, 464.846, 20.044, 36.334, 25494.765
k-nucleotide-warmup, 590.231, 528.839, 16.108, 46.682, 25998.027
k-nucleotide-warmup, 559.188, 527.595, 2.485, 25.458, 24354.894
k-nucleotide-warmup, 472.349, 444.662, 1.920, 22.475, 21702.357
k-nucleotide-warmup, 555.610, 502.247, 12.229, 42.108, 24283.170
k-nucleotide-warmup, 549.307, 488.623, 16.723, 45.441, 24658.674
k-nucleotide, 604.604, 539.183, 17.423, 49.662, 26124.918
k-nucleotide, 562.988, 498.280, 17.638, 47.425, 25040.978
k-nucleotide, 572.262, 508.570, 17.618, 47.297, 25925.333
k-nucleotide, 553.217, 490.900, 16.806, 47.352, 25203.574
k-nucleotide, 545.668, 494.881, 10.570, 38.333, 24377.087
k-nucleotide, 556.930, 493.963, 16.555, 46.213, 25183.284
k-nucleotide, 532.754, 481.953, 11.324, 38.129, 24543.176
k-nucleotide, 511.447, 467.107, 8.439, 33.990, 23340.353
k-nucleotide, 543.674, 486.994, 14.097, 42.712, 24538.583
k-nucleotide, 519.404, 477.023, 5.844, 34.172, 23236.022
reverse-complement-warmup, 24.691, 22.850, 0.000, 1.347, 1367.070
reverse-complement-warmup, 24.477, 21.789, 0.504, 1.713, 1282.554
reverse-complement-warmup, 22.824, 21.064, 0.015, 1.370, 1376.708
reverse-complement-warmup, 23.816, 22.168, 0.002, 1.282, 1316.128
reverse-complement-warmup, 28.719, 26.594, 0.000, 1.726, 1380.582
reverse-complement, 25.531, 22.912, 0.500, 1.818, 1403.769
reverse-complement, 27.254, 24.609, 0.280, 1.860, 1433.181
reverse-complement, 23.773, 21.752, 0.000, 1.414, 1403.463
reverse-complement, 25.930, 23.316, 0.469, 1.799, 1389.700
reverse-complement, 27.445, 25.266, 0.040, 1.581, 1390.426
reverse-complement, 26.127, 23.826, 0.000, 1.596, 1419.000
reverse-complement, 39.307, 34.314, 0.524, 2.438, 1925.340
reverse-complement, 36.887, 32.012, 0.798, 2.567, 1711.125
reverse-complement, 28.564, 25.596, 0.528, 2.032, 1399.330
reverse-complement, 30.354, 26.438, 0.936, 2.458, 1471.395
fasta-warmup, 132.990, 117.158, 2.199, 5.999, 4974.677
fasta-warmup, 122.934, 110.316, 0.539, 3.309, 5009.489
fasta-warmup, 113.328, 97.904, 1.470, 5.870, 5182.153
fasta-warmup, 88.227, 74.814, 1.347, 4.126, 4788.871
fasta-warmup, 89.275, 77.943, 0.738, 3.121, 4452.322
fasta, 91.348, 79.863, 0.492, 3.163, 4522.895
fasta, 93.188, 80.936, 1.044, 3.541, 4502.701
fasta, 79.385, 67.822, 0.484, 2.837, 4722.743
fasta, 78.000, 67.139, 0.491, 2.781, 4735.019
fasta, 77.719, 66.693, 0.497, 2.747, 4681.069
fasta, 82.510, 70.889, 0.706, 3.150, 4687.186
fasta, 86.234, 73.445, 1.189, 3.736, 4661.087
fasta, 87.619, 74.205, 1.542, 4.307, 4704.147
fasta, 102.000, 84.426, 3.391, 7.029, 4879.788
fasta, 94.756, 77.988, 3.466, 6.541, 4835.878
fannkuch-redux-warmup, 349.576, 303.828, 7.208, 24.928, 12107.368
fannkuch-redux-warmup, 355.451, 311.156, 8.698, 26.521, 12617.554
fannkuch-redux-warmup, 326.254, 291.723, 7.987, 25.667, 12502.251
