Name, Package (J), CPU (J), GPU (J), DRAM(J), Time (ms)
pidigits-warmup, 181.832, 160.242, 1.350, 17.435, 6880.016
pidigits-warmup, 96.785, 87.629, 0.576, 7.387, 4347.726
pidigits-warmup, 85.820, 78.313, 0.530, 6.531, 4013.054
pidigits-warmup, 89.254, 80.469, 0.366, 6.869, 4089.748
pidigits-warmup, 90.879, 81.582, 0.554, 7.208, 4199.552
pidigits, 89.223, 80.285, 0.835, 7.107, 4109.308
pidigits, 83.266, 75.336, 0.486, 6.647, 4073.181
pidigits, 79.973, 72.352, 0.491, 6.378, 4007.898
pidigits, 80.578, 73.633, 0.046, 6.038, 3951.948
pidigits, 83.438, 75.621, 0.475, 6.260, 3968.746
pidigits, 76.457, 69.145, 0.503, 6.346, 4071.953
pidigits, 90.320, 81.254, 0.949, 7.625, 4227.980
pidigits, 93.402, 82.797, 1.235, 8.101, 4290.516
pidigits, 97.086, 86.574, 0.826, 8.072, 4352.001
pidigits, 88.746, 79.863, 0.680, 7.221, 4177.700
n-body-warmup, 291.355, 266.855, 2.469, 12.523, 16479.421
n-body-warmup, 310.484, 283.516, 2.780, 15.408, 16874.410
n-body-warmup, 301.578, 280.539, 1.861, 11.644, 15948.826
n-body-warmup, 329.746, 305.988, 3.141, 13.051, 15864.688
n-body-warmup, 423.176, 392.137, 3.460, 16.954, 21985.540
n-body, 427.496, 396.863, 3.616, 17.011, 21963.737
n-body, 403.910, 371.164, 3.893, 18.032, 22495.770
n-body, 424.668, 389.297, 4.615, 19.513, 22877.474
n-body, 416.270, 385.691, 3.088, 15.423, 21846.001
n-body, 394.727, 364.012, 3.125, 15.976, 22418.645
n-body, 391.035, 360.391, 3.298, 16.380, 22330.428
n-body, 395.406, 368.527, 2.510, 14.390, 21664.212
n-body, 397.980, 367.910, 3.470, 16.437, 22311.115
n-body, 400.578, 371.637, 2.797, 16.176, 22197.261
n-body, 390.363, 361.563, 2.954, 15.416, 22162.508
k-nucleotide-warmup, 426.863, 397.629, 2.771, 23.182, 20768.955
k-nucleotide-warmup, 523.398, 485.434, 3.797, 32.025, 23356.687
k-nucleotide-warmup, 418.633, 386.492, 3.034, 27.124, 20788.351
k-nucleotide-warmup, 490.563, 447.820, 3.777, 34.573, 21800.088
k-nucleotide-warmup, 433.500, 402.711, 2.513, 25.714, 20625.645
k-nucleotide, 481.941, 439.145, 7.166, 32.700, 21738.362
k-nucleotide, 440.922, 399.523, 6.977, 29.366, 21342.115
k-nucleotide, 406.676, 379.656, 2.149, 20.301, 20684.828
k-nucleotide, 410.328, 382.105, 2.618, 21.060, 19739.092
k-nucleotide, 401.031, 373.848, 2.453, 20.716, 19892.645
k-nucleotide, 455.215, 420.543, 4.815, 25.925, 22007.933
k-nucleotide, 411.324, 385.230, 2.049, 20.215, 20693.429
k-nucleotide, 408.207, 381.746, 2.084, 20.284, 20542.530
k-nucleotide, 388.957, 365.008, 1.904, 18.988, 19438.107
k-nucleotide, 384.484, 360.102, 1.870, 19.549, 19643.022
reverse-complement-warmup, 25.887, 23.965, 0.123, 1.364, 1323.247
reverse-complement-warmup, 21.980, 20.254, 0.002, 1.191, 1273.223
reverse-complement-warmup, 23.434, 21.746, 0.006, 1.233, 1330.232
reverse-complement-warmup, 26.340, 23.836, 0.478, 1.751, 1373.636
reverse-complement-warmup, 21.941, 20.172, 0.000, 1.225, 1368.534
reverse-complement, 22.027, 20.305, 0.000, 1.242, 1371.490
reverse-complement, 22.152, 20.457, 0.016, 1.247, 1360.195
reverse-complement, 24.832, 22.488, 0.483, 1.629, 1365.782
reverse-complement, 24.168, 22.137, 0.000, 1.373, 1352.695
reverse-complement, 24.641, 22.703, 0.000, 1.438, 1381.955
reverse-complement, 23.793, 21.703, 0.271, 1.456, 1369.252
reverse-complement, 25.531, 23.223, 0.208, 1.640, 1338.080
reverse-complement, 23.164, 21.418, 0.000, 1.215, 1338.901
reverse-complement, 24.371, 22.484, 0.012, 1.314, 1349.994
reverse-complement, 25.484, 22.957, 0.478, 1.663, 1333.946
fasta-warmup, 81.371, 70.777, 0.429, 2.448, 4309.614
fasta-warmup, 74.395, 64.379, 0.500, 2.358, 4010.110
fasta-warmup, 69.199, 59.438, 0.498, 2.328, 4199.144
fasta-warmup, 68.996, 58.832, 0.474, 2.283, 4155.535
fasta-warmup, 71.289, 60.984, 0.493, 2.351, 4166.485
fasta, 67.820, 58.480, 0.048, 1.883, 4096.446
fasta, 70.355, 60.297, 0.440, 2.295, 4129.725
