Name, Package (J), CPU (J), GPU (J), DRAM(J), Time (ms)
n-body-warmup, 357.570, 335.184, 2.874, 12.368, 16405.163
n-body-warmup, 324.336, 301.477, 2.923, 10.858, 16327.786
n-body-warmup, 300.055, 273.922, 3.611, 12.237, 17464.782
n-body-warmup, 303.000, 282.418, 1.687, 10.721, 16609.830
n-body-warmup, 396.453, 371.754, 2.207, 11.683, 21226.304
n-body, 395.258, 366.473, 2.628, 14.100, 23376.196
n-body, 387.188, 361.570, 2.153, 12.784, 21946.900
n-body, 369.484, 343.809, 2.563, 12.486, 22231.492
n-body, 387.727, 361.434, 2.415, 12.387, 21826.246
n-body, 360.500, 334.809, 2.305, 12.449, 22433.523
n-body, 373.414, 347.309, 2.368, 12.914, 22392.509
n-body, 364.188, 339.094, 2.117, 12.027, 22088.094
n-body, 394.953, 369.438, 2.586, 12.162, 21409.014
n-body, 367.109, 338.719, 2.214, 13.708, 22783.937
n-body, 381.953, 355.984, 2.561, 12.387, 21882.102
n-body-warmup, 331.742, 310.621, 2.519, 11.258, 16518.216
n-body-warmup, 320.078, 301.234, 1.645, 10.159, 16489.001
n-body-warmup, 325.508, 305.891, 1.993, 10.028, 16061.917
n-body-warmup, 314.445, 295.023, 1.720, 10.031, 16326.326
n-body-warmup, 379.047, 353.813, 2.424, 12.229, 21710.096
n-body, 391.305, 366.555, 1.992, 11.680, 21197.520
n-body, 421.500, 394.555, 2.208, 14.135, 21485.942
n-body, 419.578, 385.188, 4.650, 16.188, 22817.581
n-body, 387.930, 361.961, 2.275, 12.279, 21830.103
n-body, 392.055, 364.938, 2.877, 12.799, 21883.411
n-body, 391.117, 365.180, 2.297, 11.861, 21532.260
n-body, 463.703, 422.875, 7.664, 19.775, 22641.595
n-body, 413.469, 372.375, 10.892, 21.223, 23194.892
n-body, 392.727, 364.578, 3.302, 13.770, 22265.178
n-body, 390.164, 364.234, 2.600, 12.407, 21898.481
